title,authors,cover,summary,language,categories,editor,publicationYear,pagesNumber,amazonLink,kindleLink,audibleLink,fnacLink,ISBN,rating
"Magnolia Table, Volume 2: A Collection of Recipes for Gathering",,"https://images-na.ssl-images-amazon.com/images/I/41W+DpFKNbL._SX258_BO1,204,203,200_.jpg",,,"['Cookbooks', 'Food', 'Wine', 'Regional', 'International']",,,,https://www.amazon.com/dp/0062820184,,,,0062820184,4.9
Charlotte's Web (Trophy Newbery),,"https://images-na.ssl-images-amazon.com/images/I/5175Z5YYS7L._SY291_BO1,204,203,200_QL40_ML2_.jpg",,,"['Literature', 'Fiction', 'Contemporary']",,,,https://www.amazon.com/dp/0064400557,,,,0064400557,4.8
"The Cellist: A Novel (Gabriel Allon, 21)",,"https://images-na.ssl-images-amazon.com/images/I/41YoyZ0j1aL._SY291_BO1,204,203,200_QL40_FMwebp_.jpg",,,"['Literature', 'Fiction', 'Action', 'Adventure']",,,,https://www.amazon.com/dp/006283486X,,,,006283486X,4.0
The Secret Garden (HarperClassics),,"https://images-na.ssl-images-amazon.com/images/I/51U5LphhqXL._SY291_BO1,204,203,200_QL40_FMwebp_.jpg",,,[],,,,https://www.amazon.com/dp/006440188X,,,,006440188X,4.7
I've Loved You Since Forever,,"https://images-na.ssl-images-amazon.com/images/I/51FnzgOR8cL._SX218_BO1,204,203,200_QL40_FMwebp_.jpg",,,[],,,,https://www.amazon.com/dp/0062841742,,,,0062841742,4.8
I've Loved You Since Forever Board Book,,"https://images-na.ssl-images-amazon.com/images/I/51vrHeXp-rL._SX218_BO1,204,203,200_QL40_FMwebp_.jpg",,,[],,,,https://www.amazon.com/dp/0062841750,,,,0062841750,4.8
Pride and Prejudice,,"https://images-na.ssl-images-amazon.com/images/I/41oMRzKdGNL._SY291_BO1,204,203,200_QL40_FMwebp_.jpg",,,"['Literature', 'Fiction', 'Classics']",,,,https://www.amazon.com/dp/0141439513,,,,9780141439518,4.6
Wuthering Heights (Penguin Classics),,"https://images-na.ssl-images-amazon.com/images/I/41dAOQBWAUL._SY291_BO1,204,203,200_QL40_FMwebp_.jpg",,,"['Literature', 'Fiction', 'Genre']",,,,https://www.amazon.com/dp/0141439556,,,,0141439556,4.6
The Picture of Dorian Gray,,"https://images-na.ssl-images-amazon.com/images/I/41Gl8oGuVDS._SY291_BO1,204,203,200_QL40_FMwebp_.jpg",,,"['LGBTQ+', 'Literature', 'Fiction']",,,,https://www.amazon.com/dp/0141439572,,,,0141439572,4.5
"SuperLife: The 5 Simple Fixes That Will Make You Healthy, Fit, and Eternally Awesome",,"https://images-na.ssl-images-amazon.com/images/I/51lgtaS8b+L._SY344_BO1,204,203,200_.jpg",,,"['Health', 'Fitness', 'Dieting', 'Diet', 'Weight Loss']",,,,https://www.amazon.com/dp/0062297198,,,,0062297198,4.7
