title,authors,cover,summary,language,categories,editor,publicationYear,pagesNumber,amazonLink,kindleLink,audibleLink,fnacLink,ISBN,rating
"The Plant Paradox: The Hidden Dangers in ""Healthy"" Foods That Cause Disease and Weight Gain (The Plant Paradox, 1)",['by Dr. Steven R Gundry MD (Author)'],"https://images-na.ssl-images-amazon.com/images/I/41vHpaHqqqL._SY291_BO1,204,203,200_QL40_FMwebp_.jpg",,,"['Health, Fitness & Dieting', 'Diets & Weight Loss']",,,,,,,,0062909711,4.4
The Hating Game: A Novel,['Sally Thorne'],"https://images-na.ssl-images-amazon.com/images/I/51kFZTPkczL._SY291_BO1,204,203,200_QL40_FMwebp_.jpg",,,"['Humor & Entertainment', 'Humor']",,,,,,,,0062439596,4.5
Just as I Am: A Memoir,['Cicely Tyson'],"https://images-na.ssl-images-amazon.com/images/I/41SrQ9us8GL._SY291_BO1,204,203,200_QL40_FMwebp_.jpg",,,"['Biographies & Memoirs', 'Arts & Literature']",,,,,,,,0062931067,4.9
The One and Only Ivan,"['by Katherine Applegate (Author), Patricia Castelao (Illustrator)']","https://images-na.ssl-images-amazon.com/images/I/51oG306ACnL._SY291_BO1,204,203,200_QL40_FMwebp_.jpg",,,[],,,,,,,,0061992275,4.8
Chronicles of Narnia Box Set,['C. S. Lewis'],"https://images-na.ssl-images-amazon.com/images/I/51HWQhWuSnL._SY291_BO1,204,203,200_QL40_ML2_.jpg",,,[],,,,,,,,0061992887,4.8
Of Mice and Men,['John Steinbeck'],"https://images-na.ssl-images-amazon.com/images/I/41OmKxmMLIL._SY291_BO1,204,203,200_QL40_FMwebp_.jpg",,,"['Politics & Social Sciences', 'Politics & Government']",,,,,,,,0140177396,4.7
Of Mice and Men (Penguin Great Books of the 20th Century),['John Steinbeck'],"https://images-na.ssl-images-amazon.com/images/I/41v7MONiyiS._SY291_BO1,204,203,200_QL40_ML2_.jpg",,,"['Politics & Social Sciences', 'Politics & Government']",,,,,,,,0140186425,4.7
The Subtle Art of Not Giving a F*ck: A Counterintuitive Approach to Living a Good Life,['Mark Manson'],"https://images-na.ssl-images-amazon.com/images/I/51mN3bY0JjL._SY291_BO1,204,203,200_QL40_FMwebp_.jpg",,,"['Self-Help', 'Happiness']",,,,,,,,0062457713,4.6
They Both Die at the End,['Adam Silvera'],"https://images-na.ssl-images-amazon.com/images/I/41KVwunVMvL._SY291_BO1,204,203,200_QL40_FMwebp_.jpg",,,"['Teen & Young Adult', 'Literature & Fiction']",,,,,,,,0062457799,4.7
They Both Die at the End,['Adam Silvera'],"https://images-na.ssl-images-amazon.com/images/I/41yUDMiJ9JL._SY291_BO1,204,203,200_QL40_FMwebp_.jpg",,,"['Teen & Young Adult', 'Literature & Fiction']",,,,,,,,0062457802,4.7
Homo Deus: A Brief History of Tomorrow,['Yuval Noah Harari'],"https://images-na.ssl-images-amazon.com/images/I/41MJoxwmKfL._SY291_BO1,204,203,200_QL40_FMwebp_.jpg",,,"['History', 'World']",,,,,,,,0062464310,4.6
